City,Country,Host_Year
Barcelona,Spain,1992
London,Great Britain,1908
London,Great Britain,1948
London,Great Britain,2012
Antwerpen,Belgium,1920
Paris,France,1900
Paris,France,1924
Calgary,Canada,1988
Albertville,France,1992
Lillehammer,Norway,1994
Los Angeles,United States,1932
Los Angeles,United States,1984
Salt Lake City,United States,2002
Helsinki,Finland,1952
Lake Placid,United States,1932
Lake Placid,United States,1980
Sydney,Australia,2000
Atlanta,United States,1996
Stockholm,Sweden,1920
Stockholm,Sweden,1956
Sochi,Russia,1920
Nagano,Japan,1998
Torino,Italy,2006
Beijing,China,2008
Rio de Janeiro,Brazil,2016
Athina,Greece,1896
Athina,Greece,1906
Athina,Greece,2004
Squaw Valley,United States,1960
Innsbruck,Austria,1964
Innsbruck,Austria,1976
Sarajevo,Bosnia and Herzegovina,1984
Mexico City,Mexico,1968
Munich,Germany,1972
Seoul,South Korea,1988
Berlin,Germany,1936
Oslo,Norway,1952
Cortina d'Ampezzo,Italy,1956
Melbourne,Australia,1956
Roma,Italy,1960
Amsterdam,Netherlands,1928
Montreal,Canada,1976
Moskva,Russia,1980
Tokyo,Japan,1964
Vancouver,Canada,2010
Grenoble,France,1968
Sapporo,Japan,1972
Chamonix,France,1924
St. Louis,United States,1904
Sankt Moritz,Switzerland,1928
Sankt Moritz,Switzerland,1948
Garmisch-Partenkirchen,Germany,1936
